SEC.gov URL,Amendment Number
https://www.sec.gov/Archives/edgar/data/1754170/000155837023012588/asle-20230725xex1d1.htm,4
https://www.sec.gov/Archives/edgar/data/1562401/000156240123000099/amh06302310qexhibit101.htm,1
https://www.sec.gov/Archives/edgar/data/1533924/000110465923086376/tm2322393d1_ex10-1.htm,None
https://www.sec.gov/Archives/edgar/data/1910950/000119312523199898/d525474dex101.htm,None
https://www.sec.gov/Archives/edgar/data/723612/000072361223000048/exhibit101-q2fy23.htm,5
https://www.sec.gov/Archives/edgar/data/1574085/000110465923085983/tm2322435d1_ex10-1.htm,None
https://www.sec.gov/Archives/edgar/data/1818201/000095017023036577/cccs-ex10_1.htm,1
https://www.sec.gov/Archives/edgar/data/1666291/000095017023036482/cmtg-ex10_1.htm,4
https://www.sec.gov/Archives/edgar/data/749251/000074925123000039/it-06302023xex101xamendedc.htm,1
https://www.sec.gov/Archives/edgar/data/1376339/000137633923000063/ex102-amendmentno2tocredit.htm,2
https://www.sec.gov/Archives/edgar/data/1590955/000119312523200543/d535396dex101.htm,2
https://www.sec.gov/Archives/edgar/data/1320414/000110465923086339/tm2322495d1_ex10-1.htm,8
https://www.sec.gov/Archives/edgar/data/88205/000110465923086426/tm2321538d1_ex10-1.htm,None
https://www.sec.gov/Archives/edgar/data/1402436/000095017023036455/ssnc-ex10_1.htm,1
https://www.sec.gov/Archives/edgar/data/1543151/000154315123000021/uberq2238kexhibit101.htm,None
https://www.sec.gov/Archives/edgar/data/1275014/000095017023036082/uctt-ex10_1.htm,5
https://www.sec.gov/Archives/edgar/data/917251/000110465923086389/tm2322508d1_ex10-1.htm,None
https://www.sec.gov/Archives/edgar/data/1918712/000110465923086352/tm2321871d2_ex10-1.htm,None
https://www.sec.gov/Archives/edgar/data/1918712/000110465923086352/tm2321871d2_ex10-3.htm,None
https://www.sec.gov/Archives/edgar/data/1301787/000130178723000067/exhibit101.htm,3
https://www.sec.gov/Archives/edgar/data/885550/000088555023000080/cacc-20230630xex4125.htm,2
https://www.sec.gov/Archives/edgar/data/885550/000088555023000080/cacc-20230630xex4126.htm,9
https://www.sec.gov/Archives/edgar/data/885550/000088555023000080/cacc-20230630xex4127.htm,4
https://www.sec.gov/Archives/edgar/data/1287213/000143774923021400/ex_545243.htm,2
https://www.sec.gov/Archives/edgar/data/1173514/000117351423000082/hyex101q22023.htm,1
https://www.sec.gov/Archives/edgar/data/1173514/000117351423000082/hyex102q22023.htm,None
https://www.sec.gov/Archives/edgar/data/879169/000087916923000025/exhibit103-amendedcreditag.htm,1
https://www.sec.gov/Archives/edgar/data/1721386/000173112223001332/e4881_ex10-1.htm,7
https://www.sec.gov/Archives/edgar/data/821483/000143774923021233/ex_550381.htm,None
